LoanID,Age,Income,LoanAmount,CreditScore,InterestRate,DTIRatio,Risk_Category,DefaultStatus,Income_Segment,Loan_Size_Category,Customer_Age_Group,Compliance_Status
CL2BS2EEJE,64,93741.00,232727.00,747,24.29,0.62,"Low Risk",0,"High Income","Large Loan","Senior Customers",Compliant
OWJIF9S2PZ,41,114694.00,106334.00,319,14.42,0.18,"Low Risk",0,"High Income","Medium Loan","Middle Age Customers","Policy Exception"
0NSEXRKRYQ,43,108283.00,84484.00,371,20.56,0.49,"Low Risk",0,"High Income","Medium Loan","Middle Age Customers",Compliant
4JQAOGI6A8,42,30200.00,182868.00,517,16.87,0.51,"Low Risk",0,"Middle Income","Large Loan","Middle Age Customers",Compliant
D51F6APQ5Y,62,25274.00,134289.00,701,13.01,0.57,"Low Risk",0,"Low Income","Medium Loan","Senior Customers",Compliant
O367DPWKN4,58,55299.00,37681.00,361,24.10,0.30,"Low Risk",0,"Middle Income","Small Loan","Senior Customers",Compliant
9VNZFS3GD3,46,100459.00,174884.00,578,22.29,0.69,"Low Risk",0,"High Income","Large Loan","Middle Age Customers",Compliant
R7HVEB6PCN,32,74554.00,89606.00,656,15.78,0.16,"Low Risk",0,"High Income","Medium Loan","Middle Age Customers",Compliant
XL0LIO7XMD,62,47383.00,13109.00,553,19.57,0.42,"Medium Risk",0,"Middle Income","Small Loan","Senior Customers",Compliant
UBVMQUAJS3,18,148123.00,243038.00,734,10.29,0.71,"Low Risk",0,"High Income","Large Loan","Young Customers",Compliant
Y7KTR7E8CU,42,128414.00,79538.00,346,2.02,0.76,"High Risk",0,"High Income","Medium Loan","Middle Age Customers",Compliant
YH36D287WZ,24,40782.00,172030.00,585,2.51,0.64,"Low Risk",1,"Middle Income","Large Loan","Young Customers",Compliant
BYEI0CTP7P,26,28436.00,208194.00,584,12.71,0.58,"Low Risk",0,"Low Income","Large Loan","Young Customers",Compliant
WRIDPTL1IH,41,145047.00,34875.00,811,21.59,0.83,"Low Risk",0,"High Income","Small Loan","Middle Age Customers",Compliant
NJSFL1EQ3Z,18,93993.00,132471.00,481,17.70,0.11,"Low Risk",0,"High Income","Medium Loan","Young Customers","Policy Exception"
SZSNPTKVFY,61,137295.00,81022.00,447,8.14,0.24,"Low Risk",0,"High Income","Medium Loan","Senior Customers",Compliant
ICJHINNJXT,25,29782.00,223983.00,691,12.35,0.64,"Low Risk",0,"Low Income","Large Loan","Young Customers",Compliant
UO61QYA4L7,41,39811.00,85372.00,607,4.02,0.22,"Low Risk",0,"Middle Income","Medium Loan","Middle Age Customers",Compliant
KM6ZD3M0DG,28,42063.00,50451.00,457,9.80,0.17,"Low Risk",0,"Middle Income","Medium Loan","Young Customers",Compliant
SPKAPYGMVS,68,21711.00,230251.00,616,22.46,0.82,"Low Risk",0,"Low Income","Large Loan","Senior Customers",Compliant
3UAK0OGDT1,34,103746.00,229636.00,551,14.38,0.28,"Low Risk",0,"High Income","Large Loan","Middle Age Customers",Compliant
MCCQCLDHKW,25,66282.00,242287.00,564,4.76,0.60,"Low Risk",0,"Middle Income","Large Loan","Young Customers",Compliant
OWLIUEFU4I,52,132499.00,84549.00,315,21.42,0.47,"Low Risk",0,"High Income","Medium Loan","Senior Customers",Compliant
XOBT7E4VYB,52,132751.00,31372.00,436,23.50,0.15,"Low Risk",0,"High Income","Small Loan","Senior Customers",Compliant
GXVEJUYTQ2,50,22773.00,174149.00,533,9.90,0.70,"Low Risk",1,"Low Income","Large Loan","Middle Age Customers",Compliant
M7E1KZL0L8,22,75994.00,113223.00,737,14.46,0.86,"Low Risk",0,"High Income","Medium Loan","Young Customers",Compliant
ULAVO1GRP4,59,146423.00,175145.00,372,21.64,0.31,"Low Risk",0,"High Income","Large Loan","Senior Customers","Policy Exception"
50JOLH9T97,56,106429.00,80930.00,394,11.51,0.31,"Low Risk",0,"High Income","Medium Loan","Senior Customers",Compliant
H0HG4OWMLS,58,45015.00,103293.00,834,11.08,0.51,"Low Risk",0,"Middle Income","Medium Loan","Senior Customers",Compliant
AE54LAVDVC,45,57096.00,148064.00,339,21.04,0.35,"Low Risk",0,"Middle Income","Medium Loan","Middle Age Customers","Policy Exception"
899BMZ8CH5,24,101452.00,155664.00,415,19.62,0.19,"Low Risk",0,"High Income","Large Loan","Young Customers","Policy Exception"
ZR3HIDE7XQ,26,58478.00,174639.00,668,13.11,0.88,"Low Risk",0,"Middle Income","Large Loan","Young Customers",Compliant
OML8B8OJQB,25,80893.00,141331.00,748,2.25,0.83,"Low Risk",0,"High Income","Medium Loan","Young Customers",Compliant
0JN9JTXOWV,29,141484.00,150284.00,715,23.05,0.86,"Low Risk",0,"High Income","Large Loan","Young Customers",Compliant
KY4HK9SQAG,51,112897.00,216797.00,479,14.12,0.10,"Low Risk",0,"High Income","Large Loan","Senior Customers","Policy Exception"
4W5AUHLU1R,50,146992.00,52331.00,696,22.58,0.79,"Low Risk",0,"High Income","Medium Loan","Middle Age Customers",Compliant
CI61QKR9RM,65,92816.00,235363.00,751,5.79,0.28,"Low Risk",0,"High Income","Large Loan","Senior Customers",Compliant
LV5MPA24SM,40,60596.00,158698.00,842,10.21,0.51,"Low Risk",0,"Middle Income","Large Loan","Middle Age Customers",Compliant
K23H0BRUJ2,41,148629.00,111722.00,769,19.46,0.18,"Low Risk",0,"High Income","Medium Loan","Middle Age Customers",Compliant
PNRE399EUV,54,74954.00,242196.00,635,9.05,0.40,"Medium Risk",0,"High Income","Large Loan","Senior Customers",Compliant
TNHNNVH282,52,96409.00,144564.00,577,21.20,0.65,"Low Risk",0,"High Income","Medium Loan","Senior Customers",Compliant
4066OHTN9A,61,134076.00,140885.00,602,22.89,0.84,"Low Risk",0,"High Income","Medium Loan","Senior Customers",Compliant
F50KOUWNHK,57,97979.00,146880.00,497,12.95,0.65,"High Risk",0,"High Income","Medium Loan","Senior Customers","Policy Exception"
2E09521FTY,39,91414.00,104927.00,811,3.35,0.33,"Low Risk",0,"High Income","Medium Loan","Middle Age Customers",Compliant
1OPNDQAP6K,44,29635.00,164946.00,714,9.55,0.31,"Low Risk",0,"Low Income","Large Loan","Middle Age Customers",Compliant
SP0IBH947I,52,78031.00,140988.00,578,2.69,0.20,"Low Risk",0,"High Income","Medium Loan","Senior Customers",Compliant
1GGX34200H,18,60357.00,130636.00,396,4.22,0.76,"High Risk",0,"Middle Income","Medium Loan","Young Customers","Policy Exception"
MRHHRC7YA8,52,107173.00,14655.00,513,9.56,0.36,"Medium Risk",0,"High Income","Small Loan","Senior Customers",Compliant
900DYE7RYV,54,64517.00,92300.00,842,2.54,0.52,"Low Risk",0,"Middle Income","Medium Loan","Senior Customers",Compliant
GO6UHAQVOW,64,74632.00,130550.00,343,11.95,0.86,"High Risk",0,"High Income","Medium Loan","Senior Customers","Policy Exception"
72E5CLNNU7,31,105016.00,75374.00,522,20.65,0.28,"Low Risk",0,"High Income","Medium Loan","Middle Age Customers",Compliant
RXQM3LQGM3,20,16229.00,230359.00,335,22.98,0.10,"Low Risk",0,"Low Income","Large Loan","Young Customers","Policy Exception"
FLPKETTCVD,18,81192.00,41548.00,601,17.71,0.89,"Low Risk",0,"High Income","Small Loan","Young Customers",Compliant
YWBRAUHH26,22,108033.00,184054.00,499,16.77,0.28,"Low Risk",0,"High Income","Large Loan","Young Customers","Policy Exception"
30QPADCLNB,43,89715.00,189510.00,380,18.87,0.61,"High Risk",0,"High Income","Large Loan","Middle Age Customers","Policy Exception"
IZ1U30RHN3,31,142837.00,24067.00,375,11.85,0.14,"Low Risk",0,"High Income","Small Loan","Middle Age Customers",Compliant
QCYED60ICM,56,77101.00,91461.00,640,16.82,0.84,"Low Risk",0,"High Income","Medium Loan","Senior Customers",Compliant
EOHEYN4I4X,44,73511.00,164865.00,566,2.33,0.56,"Low Risk",0,"High Income","Large Loan","Middle Age Customers",Compliant
47H6KY9RBH,26,78940.00,119094.00,627,11.40,0.54,"Low Risk",0,"High Income","Medium Loan","Young Customers",Compliant
973LRTRZKE,32,110549.00,89154.00,520,24.31,0.66,"Low Risk",0,"High Income","Medium Loan","Middle Age Customers",Compliant
LRD1ETMYIL,32,29815.00,130015.00,528,21.53,0.48,"Medium Risk",1,"Low Income","Medium Loan","Middle Age Customers",Compliant
GK31V3VLJQ,43,44236.00,74159.00,786,10.76,0.36,"Low Risk",0,"Middle Income","Medium Loan","Middle Age Customers",Compliant
ORH9OYKX2N,59,28301.00,108810.00,524,6.68,0.39,"Medium Risk",0,"Low Income","Medium Loan","Senior Customers",Compliant
IQM8AJSZYK,30,58104.00,145388.00,449,23.68,0.64,"High Risk",0,"Middle Income","Medium Loan","Middle Age Customers","Policy Exception"
9YIRALDM3B,68,105572.00,244549.00,489,13.84,0.90,"High Risk",0,"High Income","Large Loan","Senior Customers","Policy Exception"
EZRDMRA8OP,49,92500.00,68622.00,439,20.72,0.56,"High Risk",0,"High Income","Medium Loan","Middle Age Customers",Compliant
974G1CCY9R,56,38102.00,74817.00,401,8.49,0.67,"High Risk",0,"Middle Income","Medium Loan","Senior Customers",Compliant
RN6RW53ZQE,66,97972.00,153562.00,666,16.98,0.80,"Low Risk",0,"High Income","Large Loan","Senior Customers",Compliant
AK528U4ZW4,69,126838.00,221077.00,818,23.15,0.37,"Low Risk",0,"High Income","Large Loan","Senior Customers",Compliant
05V6LGJBRI,49,133879.00,219533.00,841,8.82,0.30,"Low Risk",0,"High Income","Large Loan","Middle Age Customers",Compliant
Y8RHI7QN52,21,110519.00,245997.00,406,22.18,0.42,"Low Risk",0,"High Income","Large Loan","Young Customers","Policy Exception"
BH7DDBRX3I,47,116392.00,33750.00,508,23.30,0.26,"Low Risk",0,"High Income","Small Loan","Middle Age Customers",Compliant
XISXO34R9Z,54,65186.00,159843.00,743,14.36,0.23,"Low Risk",0,"Middle Income","Large Loan","Senior Customers",Compliant
L4ARSLMVUQ,40,78286.00,136444.00,580,19.22,0.51,"Low Risk",0,"High Income","Medium Loan","Middle Age Customers",Compliant
2B753O9XXP,56,141454.00,142537.00,669,18.68,0.44,"Medium Risk",0,"High Income","Medium Loan","Senior Customers",Compliant
PEGQMBD1XA,62,25124.00,219669.00,749,5.46,0.48,"Low Risk",0,"Low Income","Large Loan","Senior Customers",Compliant
7ILO78BUL8,32,32363.00,126320.00,620,13.96,0.61,"Low Risk",0,"Middle Income","Medium Loan","Middle Age Customers",Compliant
XZNLCRSLA8,60,72904.00,162983.00,536,8.40,0.37,"Medium Risk",0,"High Income","Large Loan","Senior Customers",Compliant
PY0C08S9G2,46,15192.00,152778.00,734,22.42,0.47,"Low Risk",1,"Low Income","Large Loan","Middle Age Customers",Compliant
D8OU9UW3PY,53,30295.00,137613.00,375,10.78,0.15,"Low Risk",0,"Middle Income","Medium Loan","Senior Customers","Policy Exception"
WAJMTRP02T,30,119334.00,147716.00,787,12.10,0.88,"Low Risk",0,"High Income","Medium Loan","Middle Age Customers",Compliant
7ECS04LJOE,49,134889.00,86160.00,592,13.22,0.32,"Medium Risk",0,"High Income","Medium Loan","Middle Age Customers",Compliant
I660EVK7XL,24,49119.00,123531.00,541,7.55,0.52,"Low Risk",0,"Middle Income","Medium Loan","Young Customers",Compliant
4DJJBLKSF1,68,142277.00,79391.00,316,13.76,0.88,"High Risk",0,"High Income","Medium Loan","Senior Customers",Compliant
D4DEUHOODO,39,99269.00,232619.00,720,11.86,0.19,"Low Risk",0,"High Income","Large Loan","Middle Age Customers",Compliant
8T3I0PTR35,45,107954.00,100080.00,609,16.02,0.29,"Low Risk",1,"High Income","Medium Loan","Middle Age Customers",Compliant
8VKPI6WZUY,19,25678.00,134161.00,705,21.18,0.20,"Low Risk",1,"Low Income","Medium Loan","Young Customers",Compliant
BB05YF5VU8,59,17550.00,227024.00,795,4.52,0.22,"Low Risk",0,"Low Income","Large Loan","Senior Customers",Compliant
L5KGFM6KRD,62,58724.00,92125.00,674,20.87,0.26,"Low Risk",1,"Middle Income","Medium Loan","Senior Customers",Compliant
7PJRT499HT,23,83406.00,139957.00,424,11.49,0.72,"High Risk",0,"High Income","Medium Loan","Young Customers","Policy Exception"
4FM4RPFT35,45,54095.00,34835.00,770,15.15,0.80,"Low Risk",0,"Middle Income","Small Loan","Middle Age Customers",Compliant
VIYL3A8ETP,45,148252.00,210244.00,695,15.10,0.34,"Medium Risk",0,"High Income","Large Loan","Middle Age Customers",Compliant
7LZ2WWR8FO,61,52904.00,223407.00,407,22.35,0.10,"Low Risk",0,"Middle Income","Large Loan","Senior Customers","Policy Exception"
404GO524QL,61,96822.00,230960.00,611,21.22,0.73,"Low Risk",0,"High Income","Large Loan","Senior Customers",Compliant
4QNP5FN0KW,37,131836.00,22699.00,657,24.04,0.71,"Low Risk",0,"High Income","Small Loan","Middle Age Customers",Compliant
5XP11EJ4OW,47,37882.00,138883.00,398,7.92,0.69,"High Risk",0,"Middle Income","Medium Loan","Middle Age Customers","Policy Exception"
Q9ED7Z9QQ7,28,72464.00,129521.00,739,17.45,0.54,"Low Risk",0,"High Income","Medium Loan","Young Customers",Compliant
SVRI62LA6K,45,15926.00,93334.00,777,5.95,0.12,"Low Risk",0,"Low Income","Medium Loan","Middle Age Customers",Compliant
0Q0JD83E7X,42,38024.00,106385.00,763,2.12,0.62,"Low Risk",0,"Middle Income","Medium Loan","Middle Age Customers",Compliant
WM2RJ85VV9,56,145071.00,31141.00,480,5.42,0.19,"Low Risk",0,"High Income","Small Loan","Senior Customers",Compliant
HJJLEQLFR9,50,19296.00,91875.00,826,24.32,0.36,"Low Risk",0,"Low Income","Medium Loan","Middle Age Customers",Compliant
TGCDEXVJNP,18,146668.00,215629.00,517,5.24,0.77,"Low Risk",0,"High Income","Large Loan","Young Customers",Compliant
F859B4PZJ3,44,114043.00,198339.00,406,15.74,0.65,"High Risk",0,"High Income","Large Loan","Middle Age Customers","Policy Exception"
F74TVB524O,69,19459.00,29148.00,726,5.27,0.66,"Low Risk",0,"Low Income","Small Loan","Senior Customers",Compliant
DBHLZGZGEN,30,87178.00,85001.00,310,16.66,0.55,"High Risk",0,"High Income","Medium Loan","Middle Age Customers",Compliant
RM7KE57X57,58,94033.00,159468.00,815,18.74,0.33,"Low Risk",0,"High Income","Large Loan","Senior Customers",Compliant
WPLDA8SGTK,20,102312.00,17975.00,797,22.63,0.78,"Low Risk",0,"High Income","Small Loan","Young Customers",Compliant
EMQV99WWV5,56,107124.00,249352.00,317,18.13,0.86,"High Risk",1,"High Income","Large Loan","Senior Customers","Policy Exception"
AIBB50PEYS,23,84774.00,120912.00,749,23.68,0.16,"Low Risk",0,"High Income","Medium Loan","Young Customers",Compliant
7U1KVN9YIY,25,127103.00,24296.00,626,20.05,0.32,"Medium Risk",0,"High Income","Small Loan","Young Customers",Compliant
8FNOFSM2S6,44,101997.00,151516.00,708,18.06,0.28,"Low Risk",0,"High Income","Large Loan","Middle Age Customers",Compliant
UK4OH3F6QS,26,47398.00,155340.00,334,15.39,0.75,"High Risk",1,"Middle Income","Large Loan","Young Customers","Policy Exception"
RBKMH2P80V,54,106956.00,87462.00,434,23.19,0.25,"Low Risk",0,"High Income","Medium Loan","Senior Customers",Compliant
G18UJDAD8B,50,59215.00,43116.00,381,6.84,0.20,"Low Risk",0,"Middle Income","Small Loan","Middle Age Customers",Compliant
H6BAD08LFV,68,17751.00,152696.00,811,17.25,0.52,"Low Risk",0,"Low Income","Large Loan","Senior Customers",Compliant
